label,centroid_x,centroid_y,centroid_z,area,aspherity,int_0,int_1,sample,type,x_std,y_std,z_std,r,theta,rotation
973,40.4934997399896,652.2438897555902,185.66562662506502,2473.0,1.3660424115351288,24449.61830473219,43803.429017160684,Ezi_3,E(z) RNAi,0.6751407506142799,0.2870203794475603,-14.653893466240014,0.733618246336768,0.40197798380462707,90
974,39.43804537521815,659.4066317626528,430.4267015706806,1758.0,1.5449434708669108,5998.043630017452,22661.975567190228,Ezi_3,E(z) RNAi,0.16517328393694153,0.3647870518457319,-28.083759012399724,0.40043951718182635,1.1456215764862725,90
975,40.947933440687066,666.1164787976383,172.1352657004831,2472.0,1.4087808978240246,13024.282340311325,31456.12238325282,Ezi_3,E(z) RNAi,0.7064092321128823,0.3158876902636991,-12.85329057072147,0.7738210620514582,0.4205011595884678,90
976,39.75733465937345,672.7593237195425,156.61760318249628,2577.0,1.57855012991026,29953.508204873197,48423.262058677275,Ezi_3,E(z) RNAi,0.7404446131943847,0.32759253813623146,-12.926500256557318,0.8096759205083971,0.41653822848386873,90
977,39.95277395690051,673.7028885832187,248.77900045850527,2769.0,1.3921964457549785,9707.068317285648,33331.23567171022,Ezi_3,E(z) RNAi,0.5479688628470645,0.3527374681401352,-17.473401220188194,0.6516851970697338,0.5719464292107794,90
978,40.24476589265322,677.2371526456034,128.31709173962696,3930.0,1.804746466390996,31195.614389036924,37568.958127141224,Ezi_3,E(z) RNAi,0.800528110698018,0.3309134273949004,-10.762588268052397,0.8662268481454372,0.39197790507064084,90
979,39.34495938843765,699.955088389871,410.74008600095556,2641.0,1.610307350063172,5824.573817486861,27855.630673674154,Ezi_3,E(z) RNAi,0.21521807722781694,0.4542492687389321,-25.270006453746475,0.5026541742744142,1.1283369340292604,90
980,40.47256097560975,711.9212398373984,255.10924796747966,2488.0,1.3819639971892608,16877.67987804878,43330.33993902439,Ezi_3,E(z) RNAi,0.5430433960115233,0.44320259933826645,-15.50753973972656,0.7009455570955023,0.6845087120520954,90
981,40.77390710382514,712.9610655737705,162.82035519125682,1868.0,1.4300821483813353,12063.94330601093,33353.96857923497,Ezi_3,E(z) RNAi,0.7361608885253015,0.4225939942989787,-10.36626998014006,0.848833633765726,0.5211208909084266,90
982,40.789095266626724,715.0617136009587,199.70701018573996,2266.0,1.3090124010633148,26501.727381665667,47107.39904134212,Ezi_3,E(z) RNAi,0.6595092648296823,0.4366735594266782,-12.168932019170299,0.7909717238299689,0.5848475487864937,90
983,42.16641813301521,715.7351625410081,338.35490605427975,4607.0,1.6835335798897535,8471.626006561288,33989.565762004175,Ezi_3,E(z) RNAi,0.3696558288271068,0.4726621632291099,-17.963304206503373,0.6000457918644851,0.9070831090946405,90
984,38.425762045231075,716.6991150442478,531.3746312684366,1416.0,1.5673462459177994,5488.463126843658,25656.533923303836,Ezi_3,E(z) RNAi,-0.03318664154132356,0.5233653907756084,-31.67310843136687,0.5244165190366314,1.6341216244773293,90
985,41.047484720263284,729.363422661025,290.61495063469675,3318.0,1.2840881608663606,25728.25481899389,43077.314057357784,Ezi_3,E(z) RNAi,0.4725716327083944,0.4925855722527803,-15.967178115507416,0.682615919849718,0.8061316475519458,90
986,38.033511043412034,729.035795887281,719.960396039604,1910.0,1.759615452085668,5429.536938309216,17199.341964965726,Ezi_3,E(z) RNAi,-0.4246681162620437,0.5991093153570055,-41.283898652045224,0.7343534440016555,2.187425537322181,90
987,39.257165605095544,737.9275477707006,364.875,1782.0,1.7162839060115758,6559.464171974522,28159.04219745223,Ezi_3,E(z) RNAi,0.3194229966890181,0.5311924106359915,-21.211300896227527,0.619835807235326,1.0293979874946784,90
