label,centroid_x,centroid_y,centroid_z,area,aspherity,int_0,int_1,sample,type,x_std,y_std,z_std,r,theta,rotation
8451,83.81693363844394,321.37185354691076,263.8386727688787,1487.0,1.6564774839133682,5721.132723112129,26694.068649885583,mCherryi_1,mCherry RNAi,-0.5787940503942173,0.5213596908187128,13.548804798607165,0.7789855454257977,2.408352897327952,-95
8452,82.04033092037228,333.1985522233712,834.8035160289555,1260.0,1.6965139825725182,8368.052740434334,29143.581178903827,mCherryi_1,mCherry RNAi,0.6303452396578397,0.3230456227821352,28.6972412012763,0.7083033217188784,0.47358959812843027,-95
8453,81.10526315789474,346.4315789473684,399.7242105263158,1290.0,1.3225780977984283,6514.7947368421055,34845.20842105263,mCherryi_1,mCherry RNAi,-0.29802908231479897,0.42906745174665195,15.016283008314034,0.5224176605492646,2.1778870896596962,-95
8454,81.86080586080585,349.99175824175825,141.10164835164835,1809.0,1.6310031111847982,5644.985347985348,24563.38827838828,mCherryi_1,mCherry RNAi,-0.8485764607561057,0.5008381289922204,8.165686215762463,0.9853531555750895,2.6084029436712086,-95
8455,81.10373066424022,364.86624203821657,726.5559599636033,1253.0,1.7978153669037535,6403.26296633303,28216.18653321201,mCherryi_1,mCherry RNAi,0.3903009923125278,0.29195194827390614,24.781207355523506,0.4874123559175264,0.6422310611071801,-95
8456,81.26928471248247,387.50280504908835,807.0617110799438,1686.0,1.5717082625235848,10468.18793828892,30123.20757363254,mCherryi_1,mCherry RNAi,0.5540333549347578,0.221540011447801,27.474447012136054,0.5966849546054895,0.38039227052422586,-95
8457,80.96470588235294,398.0,895.6117647058824,1062.0,1.6673218158174417,11138.227450980392,24806.93725490196,mCherryi_1,mCherry RNAi,0.7387780647860105,0.17324179237638604,29.85319919928,0.7588186526665943,0.23033594034523372,-95
8458,81.75409836065573,393.92258652094716,849.2486338797814,1332.0,1.5834043988875097,12735.620218579235,30084.284153005465,mCherryi_1,mCherry RNAi,0.6415557354810293,0.19567141000511845,29.246932360064562,0.6707317365549327,0.2960332089413454,-95
8459,81.10504201680672,400.56302521008405,754.6827731092437,1099.0,1.4720151576827918,7464.1365546218485,30087.157563025212,mCherryi_1,mCherry RNAi,0.43858942567170356,0.2110835238898232,25.853113503735926,0.48674114102752847,0.44855829611308407,-95
8460,81.32717391304348,409.0510869565217,841.8771739130435,1096.0,1.520303431258777,9470.320652173914,29179.158695652175,mCherryi_1,mCherry RNAi,0.6210674904436311,0.16727935878671985,28.704787714371292,0.6432007552561222,0.26309813980518015,-95
