label,centroid_x,centroid_y,centroid_z,area,aspherity,int_0,int_1,int_2,sample,x_std,y_std,z_std,rotation,D_threshold,kn_threshold,ey_threshold,type,with_ey_kn
57,2.5459715639810425,409.4151658767772,726.1838862559242,1249.0,1.4787267469524088,10471.236018957346,17670.155450236965,29403.783886255926,Vsx1_1,-0.4375954376690253,0.5144114857906052,-43.027821190270245,130,22500,30000,25000,Vsx OE,False
58,2.3591022443890273,423.79551122194516,806.9900249376559,718.0,1.6787986873431024,8949.59102244389,16549.877805486285,27730.406483790524,Vsx1_1,-0.6225262885283254,0.5427055574773887,-41.297971456856004,130,22500,30000,25000,Vsx OE,False
59,12.658946700507615,445.0577411167513,855.9406725888325,6209.0,1.943639938435303,9599.96383248731,16383.055520304568,27316.707170050762,Vsx1_1,-0.7430388557703785,0.5284839697571946,-30.489540609722027,130,22500,30000,25000,Vsx OE,False
60,3.4185022026431717,542.2026431718061,824.3259911894273,647.0,1.9645524203022215,7395.528634361233,13887.185022026431,27194.334801762114,Vsx1_1,-0.7434953218587586,0.27438604034080427,-45.65168125709558,130,22500,30000,25000,Vsx OE,False
61,6.531693472090823,246.88079470198676,680.600756859035,1517.0,1.453241206312037,10289.385998107853,26110.052034058655,27051.05581835383,Vsx1_1,-0.22422917379940455,0.8650938149439349,-32.33394753968972,130,22500,30000,25000,Vsx OE,False
62,5.660270078180526,291.6709310589908,667.9715707178394,2014.0,1.5917968231957542,11650.991471215351,18538.061122956646,27058.084577114427,Vsx1_1,-0.22853223897891195,0.7489498667154337,-35.87811991153639,130,22500,30000,25000,Vsx OE,False
63,5.856979405034325,324.8855835240275,722.9679633867277,1160.0,1.3718779974392412,11473.29405034325,18400.04118993135,27269.83295194508,Vsx1_1,-0.3709068248616971,0.7124503657665213,-35.56027865274541,130,22500,30000,25000,Vsx OE,False
64,5.134078212290503,336.25418994413405,858.2653631284916,641.0,1.4777186767770882,8492.35754189944,16465.564245810056,24660.575418994413,Vsx1_1,-0.6715960906759085,0.790105586218548,-32.43153778560795,130,22500,30000,25000,Vsx OE,False
65,4.5873563218390805,333.4896551724138,710.3505747126437,1313.0,1.56482717956453,11688.504597701149,18985.177011494252,25129.194252873564,Vsx1_1,-0.349728497215285,0.6824220464960391,-37.674597531642,130,22500,30000,25000,Vsx OE,False
66,8.520152091254753,329.41140684410647,743.5673003802282,1931.0,1.365592855344513,11651.114068441064,19438.376425855513,28028.11330798479,Vsx1_1,-0.41856104380568027,0.7172235852717204,-32.45681554571068,130,22500,30000,25000,Vsx OE,False
67,7.387068201948627,346.3932683790965,805.4348981399469,1651.0,1.6164001510817554,11117.759964570416,19983.67139061116,27040.116031886624,Vsx1_1,-0.564396227540353,0.7248298022127813,-32.422112868346744,130,22500,30000,25000,Vsx OE,False
68,3.2463503649635035,347.07481751824815,818.6970802919708,866.0,1.7447090156201523,10588.622262773722,20916.275547445257,25042.85218978102,Vsx1_1,-0.5937084706288005,0.7340635642685089,-36.15606111700453,130,22500,30000,25000,Vsx OE,False
69,7.966297544535387,349.9768897448243,701.3495426095329,2952.0,1.3932276110343926,12129.24795377949,19050.245064997594,28687.035146846414,Vsx1_1,-0.34176846844151787,0.6357665831031807,-35.4285144073841,130,22500,30000,25000,Vsx OE,False
