label,centroid_x,centroid_y,centroid_z,area,aspherity,int_0,int_1,int_2,sample,x_std,y_std,z_std,rotation,D_threshold,kn_threshold,ey_threshold,type,with_ey_kn
417,37.666666666666664,487.43093922651934,803.8139963167588,873.0,1.4591340297943043,13839.574585635359,35179.03683241252,31986.34438305709,LacZ_1,0.8172193396897534,0.10534070838597787,6.4692958269932035,-100,22500,30000,25000,LacZ OE,True
418,38.19009900990099,518.0970297029703,800.4732673267326,852.0,1.6182525798590595,11644.225742574257,37445.8099009901,31346.061386138615,LacZ_1,0.8152786619140469,0.02174538474607135,7.323290527584632,-100,22500,30000,25000,LacZ OE,True
419,36.25451807228916,613.1295180722891,763.6746987951807,895.0,1.3767903054241601,10629.01656626506,24720.48343373494,30067.93674698795,LacZ_1,0.7168694549888974,-0.24398605401314777,5.482624842719545,-100,22500,30000,25000,LacZ OE,False
420,37.36104218362283,652.2258064516129,646.7828784119107,1169.0,1.5043714048796835,15922.29652605459,21079.681141439207,27364.51240694789,LacZ_1,0.31888056115800456,-0.3785077706662535,3.0405804745884524,-100,22500,30000,25000,LacZ OE,False
421,36.49203539823009,671.741592920354,631.566371681416,787.0,1.5270639912299504,16126.0,21094.05309734513,27508.653097345134,LacZ_1,0.2718388122156121,-0.4349940213223169,1.9214505962086434,-100,22500,30000,25000,LacZ OE,False
422,35.34791666666667,700.6145833333334,640.1854166666667,713.0,1.47526750887692,16984.25625,33468.95625,24966.758333333335,LacZ_1,0.3115274589873962,-0.5108314122261146,1.5043896252335287,-100,22500,30000,25000,LacZ OE,False
423,37.570320077594566,719.4733268671193,514.1930164888457,1485.0,1.3530616056065414,15415.997090203686,20951.115421920465,27917.99806013579,LacZ_1,-0.12506171853569548,-0.5929472539379288,-0.4394359638534837,-100,22500,30000,25000,LacZ OE,False
424,36.73099415204678,721.8912280701754,479.07953216374267,1350.0,1.6429408873189177,20130.82923976608,20937.095906432747,29065.86900584795,LacZ_1,-0.24746165981740686,-0.6082165013498856,-2.4803305243097924,-100,22500,30000,25000,LacZ OE,False
425,36.84961439588689,723.6298200514138,696.4125964010283,921.0,1.3459791305064879,16059.263496143958,32850.54755784062,26012.431876606683,LacZ_1,0.5161475242533018,-0.5589565944279016,5.323435954254947,-100,22500,30000,25000,LacZ OE,True
426,37.25264750378215,764.232980332829,514.0499243570348,901.0,1.4779764077391795,16956.527987897127,32949.13918305597,26407.003025718608,LacZ_1,-0.11113758539594587,-0.7138198251329655,-0.10702673777802829,-100,22500,30000,25000,LacZ OE,True
427,38.684854186265284,778.0771401693321,511.87017873941676,1473.0,1.650593825928317,15541.340545625588,33603.33584195672,25676.42144873001,LacZ_1,-0.11452536527595547,-0.751688717149495,1.449871281593559,-100,22500,30000,25000,LacZ OE,True
428,38.74424552429667,780.769820971867,536.3930093776642,1789.0,1.481877936011014,20378.109121909634,34067.992327365726,28318.9820971867,LacZ_1,-0.027566871544329796,-0.7528682878939069,2.412911733661403,-100,22500,30000,25000,LacZ OE,True
429,39.02238805970149,259.1761194029851,653.189552238806,1221.0,1.680800904576547,23582.50298507463,42189.755223880595,31997.04029850746,LacZ_1,0.21483539220544312,0.6841589666887045,-0.8243265947924385,-100,22500,30000,25000,LacZ OE,True
430,37.0939226519337,268.25690607734805,587.4558011049724,746.0,1.9560217513520088,22625.8453038674,23370.455801104974,29766.93922651934,LacZ_1,-0.012792167763060913,0.6432689544892729,-4.935276315736786,-100,22500,30000,25000,LacZ OE,False
