label,centroid_x,centroid_y,centroid_z,area,aspherity,int,sample,type,x_std,y_std,z_std,rotation,int_threshold
1377,38.00875656742557,528.6322241681261,878.1173380035026,927.0,1.5257452567088665,28750.609457092818,NICD_3,NICD OE,0.8573724069476036,0.20782883564395527,-3.2040319881121633,-90,2500
1378,37.82005141388175,522.0051413881748,903.491002570694,520.0,1.5461529928870745,28024.303341902312,NICD_3,NICD OE,0.923808243171216,0.24088035221842374,-2.6190173848805074,-90,2500
1379,38.33018867924528,539.2735849056604,722.9129979035639,2354.0,1.7554665713257205,51593.11268343816,NICD_3,NICD OE,0.4297346710304417,0.08067365543084004,-9.174436662249164,-90,2500
1380,36.99466666666667,536.936,865.384,634.0,1.6851795516898962,30934.210666666666,NICD_3,NICD OE,0.8277754210032484,0.17862306658440108,-4.343845866121271,-90,2500
1381,37.55600461893764,546.3077367205543,597.8573903002309,2097.0,1.5025381424011228,55223.07217090069,NICD_3,NICD OE,0.08423066433150961,-0.018018806299941237,-15.096265217335898,-90,2500
1382,39.55513547574039,545.8475110270952,743.8386893509767,2022.0,1.4067615224405707,50848.89918084436,NICD_3,NICD OE,0.49292005844078335,0.07782960561428087,-6.685929376493945,-90,2500
1383,38.87769784172662,580.0906474820143,843.0848920863309,2037.0,1.38515709105832,46902.57985611511,NICD_3,NICD OE,0.795836326153275,0.05597557922170493,-1.1953628613065632,-90,2500
1384,39.03177966101695,591.2012711864406,743.8072033898305,1114.0,1.7754487980788447,59468.09110169492,NICD_3,NICD OE,0.5253837340096148,-0.03617702725991556,-4.841035966289155,-90,2500
1385,38.65158090514569,601.4054556726596,818.6918784872908,2008.0,1.4071982871863178,44689.52510849349,NICD_3,NICD OE,0.7427318042377704,-0.013380669568852865,-1.3839619192894759,-90,2500
1386,38.40439276485788,615.1892764857881,825.8081395348837,1952.0,1.553280344815218,39869.489664082685,NICD_3,NICD OE,0.772593646783744,-0.04342619001954606,-0.5968369423001718,-90,2500
1387,41.9151679674245,628.2656939260264,787.6189345096709,4532.0,1.3778173205434767,53358.94468951476,NICD_3,NICD OE,0.6743026579998468,-0.10063210762163532,1.9038840433345143,-90,2500
1388,40.40696347031963,620.5268264840182,858.1489726027397,2420.0,1.2552882997906099,39491.95547945205,NICD_3,NICD OE,0.8667772364272255,-0.0356958964961569,3.1064855485642227,-90,2500
1389,39.35589519650655,633.5076419213974,862.382096069869,1268.0,1.3799057163195225,38521.83515283843,NICD_3,NICD OE,0.8881095093969329,-0.06567301183700547,2.9224886228975038,-90,2500
1390,38.61624203821656,634.2762738853503,667.7237261146497,2310.0,1.981203529442879,27390.992834394903,NICD_3,NICD OE,0.34294367013637617,-0.19367291660834218,-6.36258285228655,-90,2500
1391,41.637053087757316,638.498374864572,829.6153846153846,2413.0,1.3774884957449842,57347.225893824485,NICD_3,NICD OE,0.7994337922412154,-0.09918379146001566,4.013438505141238,-90,2500
1392,39.21253822629969,662.7446483180428,841.4487767584097,1872.0,1.3021705420112049,46191.118501529054,NICD_3,NICD OE,0.8503641221099485,-0.15268267470296704,3.3827834360686353,-90,2500
1393,44.623104693140796,663.5808664259928,664.5,3790.0,1.6664272619787264,22071.856678700362,NICD_3,NICD OE,0.353912562747396,-0.2687571215619411,1.0183264256210265,-90,2500
1394,38.15075376884422,675.0165111270638,864.1888011486002,1838.0,1.3828165578974514,29037.43575017947,NICD_3,NICD OE,0.9230852340981313,-0.16890132254980783,3.967498842132187,-90,2500
1395,41.104111405835546,687.2254641909815,804.8541114058355,2193.0,1.3551281338514998,38894.72679045093,NICD_3,NICD OE,0.7649698550939412,-0.23767188902523806,4.933980655707586,-90,2500
1396,39.72397841171935,698.2760215882806,759.9737856592136,2127.0,1.43420890453697,38838.65381649962,NICD_3,NICD OE,0.6472559408812588,-0.29462264725329324,2.1542660192697554,-90,2500
1397,40.584691708008506,712.7101346562722,704.4776754075124,2015.0,1.5783597470488782,25214.578313253012,NICD_3,NICD OE,0.50183501419574,-0.3667137453212582,1.3185362760822272,-90,2500
1398,38.619269619269616,720.4133644133644,728.3123543123543,1726.0,1.5620979000456108,29843.184149184148,NICD_3,NICD OE,0.5745009618652275,-0.37084004797567693,0.8114401322384879,-90,2500
1399,38.888432580424364,735.4757015742642,795.5509924709104,1789.0,1.3448699733371225,31478.1697467488,NICD_3,NICD OE,0.7737819825090688,-0.36512988335531793,4.8327516269474415,-90,2500
1400,37.54795663052544,754.2610508757298,409.8231859883236,1553.0,1.7226210992636952,32800.41451209341,NICD_3,NICD OE,-0.29416108268140173,-0.6621210925249716,-12.539850705608359,-90,2500
1401,39.66301369863014,754.4397260273972,756.663698630137,2097.0,1.4498016283109967,24048.070547945204,NICD_3,NICD OE,0.6781900648650863,-0.4378592722164397,4.8803394600414975,-90,2500
1402,38.2887323943662,783.5088028169014,688.8036971830986,1467.0,1.2966188290076817,22096.3661971831,NICD_3,NICD OE,0.5089375526471414,-0.554947079745481,2.0336655147749667,-90,2500
1403,39.645348837209305,791.8333333333334,732.3100775193799,875.0,1.2543220613478203,21910.100775193798,NICD_3,NICD OE,0.636672698562158,-0.547559860516243,5.741091906579612,-90,2500
1404,37.89383815887157,800.43429844098,608.0957683741648,1792.0,1.3840718745164637,18617.229398663698,NICD_3,NICD OE,0.2948071885485093,-0.6497442938418649,-1.0368430229002428,-90,2500
1405,36.775618374558306,809.2994699646644,696.4964664310954,1462.0,1.4211966787498944,23763.99293286219,NICD_3,NICD OE,0.549215721130526,-0.6149118769383137,2.210266710052352,-90,2500
1406,39.976640711902114,811.3604004449388,590.6295884315906,1438.0,1.382766228035895,24016.75083426029,NICD_3,NICD OE,0.25331620604568084,-0.6882823247764627,0.8411435165342311,-90,2500
1407,37.81333333333333,811.96,726.3,916.0,1.6592082180756333,23184.402222222223,NICD_3,NICD OE,0.6345239328906669,-0.6021982132735667,4.6992620651352865,-90,2500
1408,37.84009840098401,815.8573185731857,639.9852398523985,1142.0,1.4023023413710072,19580.158671586716,NICD_3,NICD OE,0.39527704473790504,-0.6678532180608343,1.1217399404694675,-90,2500
1409,37.70823529411765,818.444705882353,683.2352941176471,1146.0,1.3401672103342948,22222.402352941175,NICD_3,NICD OE,0.5184267100137963,-0.6463728464249271,3.0332622928285815,-90,2500
1410,37.31099656357388,822.6701030927835,565.615120274914,1268.0,1.7743989033765188,22000.876288659794,NICD_3,NICD OE,0.19170060335670924,-0.7331581098378399,-2.33116678801926,-90,2500
1411,36.655721393034824,824.0955223880597,668.702487562189,1344.0,1.5072978756285424,28854.137313432835,NICD_3,NICD OE,0.4818909161733884,-0.6700828227938639,1.6371914521225648,-90,2500
