label,centroid_x,centroid_y,centroid_z,area,aspherity,int,sample,type,x_std,y_std,z_std,r,theta,rotation
36,10.4552,723.836,382.1632,1486.0,1.3547723157643732,2242.4832,mCherryi_2_b2,mCherry RNAi,0.28381177497088506,0.5722064947871306,-68.26621529890801,0.6387248204733388,1.110357546845063,70
37,10.173529411764706,730.1990196078432,460.1735294117647,1286.0,1.5497108959042252,2102.793137254902,mCherryi_2_b2,mCherry RNAi,0.07456720861539923,0.5977761875421566,-70.50750813374763,0.602409029641097,1.4466963405934505,70
38,9.4382889200561,743.8464235624124,372.38920056100983,1677.0,1.4903902187672389,2533.717391304348,mCherryi_2_b2,mCherry RNAi,0.3126080533623887,0.6228130367396798,-68.56168168506184,0.6968643151718446,1.1056065438430593,70
39,11.548717948717949,654.9660256410257,374.7801282051282,1912.0,1.3796249314718096,1852.7705128205127,mCherryi_2_b2,mCherry RNAi,0.29533105794220216,0.39337411958119217,-68.54719243455543,0.49189798916191807,0.9268065503918448,70
40,13.109422492401215,714.0607902735562,378.21215805471127,1967.0,1.3101971783293302,2740.1908814589665,mCherryi_2_b2,mCherry RNAi,0.29307441239027043,0.5463446036620565,-65.7303056333464,0.6199879330668879,1.078432940332463,70
41,13.785647716682199,638.2637465051258,320.6439888164026,1426.0,1.392886799242459,2452.942218080149,mCherryi_2_b2,mCherry RNAi,0.43890818752716076,0.3437763093917714,-65.23227284912815,0.5575146168284777,0.6644458309085265,70
42,13.190893169877407,650.2066549912435,328.3406304728546,1364.0,1.2572428479404818,2169.4973730297725,mCherryi_2_b2,mCherry RNAi,0.41966622664482145,0.3755605471618977,-65.76156631027412,0.5631744546504632,0.729991908172869,70
43,13.52997002997003,693.1908091908092,360.2012987012987,2620.0,1.5721167132904046,2491.8811188811187,mCherryi_2_b2,mCherry RNAi,0.339026164536552,0.4903038600980485,-65.30067924337058,0.5961011788844339,0.9658240234077065,70
44,16.07331166486096,595.8122065727699,305.81581798483205,3689.0,1.3979456476246916,2846.517154207295,mCherryi_2_b2,mCherry RNAi,0.47355677684539477,0.2322525799430344,-63.51552352188803,0.5274441029970802,0.455972775055859,70
45,14.635057471264368,742.1135057471264,382.35991379310343,1661.0,1.3635401777595575,2974.2758620689656,mCherryi_2_b2,mCherry RNAi,0.2851631734256874,0.6192112811072692,-63.676806184551594,0.6817188908404359,1.1392231643948068,70
46,13.381370826010544,668.1898066783831,372.11423550087875,748.0,1.4627365484282506,1305.446397188049,mCherryi_2_b2,mCherry RNAi,0.303959361102663,0.4271205004315022,-66.34170333790217,0.5242358391895731,0.952295753332362,70
47,14.80790273556231,697.5215805471124,382.7860182370821,2190.0,1.3862321582410597,2027.9446808510638,mCherryi_2_b2,mCherry RNAi,0.2786443921815849,0.5040592754661011,-64.53408332539827,0.5759500416508846,1.0658053004125783,70
48,12.92144373673036,702.8513800424629,446.38853503184714,573.0,1.3314699250549675,1342.5138004246285,mCherryi_2_b2,mCherry RNAi,0.10818749217063917,0.5253658161157813,-68.01396127305377,0.5363895731697,1.3677073913936422,70
49,16.665847665847664,712.1762899262899,437.8894348894349,2164.0,1.433801106514935,2748.3986486486488,mCherryi_2_b2,mCherry RNAi,0.13190802908595,0.548251898043183,-63.8295585839744,0.56389704011042,1.3346864763190982,70
50,13.358270989193683,742.4555278470491,412.0648379052369,1405.0,1.3475738901466376,1813.7406483790523,mCherryi_2_b2,mCherry RNAi,0.20532480112045226,0.6236376277997615,-65.74657974637766,0.6565684768269545,1.2527366743106068,70
51,15.00375234521576,723.7288930581614,441.593808630394,1330.0,1.2637442291547916,2284.234521575985,mCherryi_2_b2,mCherry RNAi,0.12344824084469197,0.57862097101205,-65.32670777425221,0.5916432170341993,1.3605986971326425,70
52,20.222972972972972,500.0857142857143,293.8451737451737,6474.0,1.4241952514134157,3020.130888030888,mCherryi_2_b2,mCherry RNAi,0.49396950503146364,-0.016663845159708313,-61.23189534657316,0.49425049887333034,-0.033721774392564186,70
53,17.12669245647969,502.9013539651838,315.65667311411994,2333.0,1.2024956529249973,2670.1208897485494,mCherryi_2_b2,mCherry RNAi,0.435817450402475,-0.006668305555243892,-64.85051933992088,0.43586846223865733,-0.015299491215162941,70
54,18.782829793598562,536.6162129823512,339.02333233622494,3905.0,1.277767211328243,2934.7062518695784,mCherryi_2_b2,mCherry RNAi,0.3768329223080449,0.08306383404203355,-63.055899708053886,0.3858790637764421,0.2169567547208978,70
55,17.42875902823375,612.5797767564019,275.07616546290217,1767.0,1.2607197041514264,2296.0669730794484,mCherryi_2_b2,mCherry RNAi,0.5582310821441177,0.27189928806998775,-60.94841878045016,0.6209276640034319,0.4532526314260662,70
56,16.151413189771198,628.5087483176312,369.7409152086137,1821.0,1.5340714198564642,1973.6574697173621,mCherryi_2_b2,mCherry RNAi,0.305371769114388,0.3241821986683129,-64.41569541909155,0.4453605452950144,0.815268255274141,70
57,16.069246435845216,653.6985743380856,425.23421588594704,696.0,1.3199945835814664,1329.989816700611,mCherryi_2_b2,mCherry RNAi,0.15899806185304755,0.39574366025291075,-65.41996003184245,0.42648965790907145,1.1887647334845517,70
58,16.025202520252027,667.8694869486949,298.0927092709271,1304.0,1.3772474114622704,2162.917191719172,mCherryi_2_b2,mCherry RNAi,0.503012631422153,0.4174947614905824,-61.70934512225671,0.6536999183435142,0.692761099239851,70
59,17.430538172715895,683.1032540675844,335.4086357947434,1880.0,1.2780267127034808,2664.299123904881,mCherryi_2_b2,mCherry RNAi,0.404269998046795,0.4611297953821385,-60.963919181777186,0.613249475751858,0.8510073636062482,70
60,17.75124653739612,684.4609418282548,347.8,2402.0,1.4291972981848646,2807.932409972299,mCherryi_2_b2,mCherry RNAi,0.37104716833678375,0.4660672373834349,-60.946785730753604,0.5957303676101904,0.8984234621944969,70
61,16.572692793931733,691.6068268015171,424.18204804045513,1039.0,1.3113939779113786,1321.5309734513273,mCherryi_2_b2,mCherry RNAi,0.1663482327956074,0.49351910115728304,-64.02258003470732,0.5208001898629783,1.2456906458447328,70
