label,centroid_x,centroid_y,centroid_z,area,aspherity,int_0,int_1,in_plane,sample,type,x_std,y_std,z_std,rotation,int_threshold
475,68.33669609079445,583.8915510718789,271.3883984867591,2431.0,1.9700429994740265,12189.3631778058,43959.47793190416,True,mChKD_2,mCherry RNAi,0.7603324335271071,0.36329589165424037,-2.315513385098967,95,25000
476,66.12855980471929,683.0610252237592,380.8226200162734,1476.0,1.6019441601436328,17139.406834825062,41787.01708706265,True,mChKD_2,mCherry RNAi,0.436137543981312,0.6084542257305285,-0.5826146759757904,95,25000
477,65.32641291810842,723.5709342560554,451.01153402537483,1137.0,1.476333689084646,26730.113033448673,48808.259515570935,False,mChKD_2,mCherry RNAi,0.22517217989532412,0.7112523415621439,1.3529764867435148,95,25000
478,66.24253459577568,733.7006554989075,462.9672250546249,1634.0,1.3307222547031476,21361.160961398396,50195.60233066278,False,mChKD_2,mCherry RNAi,0.18981822491008904,0.736394371694937,2.7049005742862704,95,25000
479,65.59633027522936,789.6284403669724,692.4464831804281,1782.0,1.491369208322909,15400.77752293578,53620.049694189605,False,mChKD_2,mCherry RNAi,-0.509980365764118,0.8921165875896069,11.705532550416777,95,25000
480,65.98764342453663,829.3309796999117,557.1147396293028,1345.0,1.2456278184441418,10883.293027360989,50194.73433362754,False,mChKD_2,mCherry RNAi,-0.08747139211690247,0.9716512559440962,5.7447705163880585,95,25000
481,67.18499769903359,327.6396686608376,455.33502070869764,2724.0,1.6208911485620716,16825.87942936033,49214.018867924526,False,mChKD_2,mCherry RNAi,0.1586525063657731,-0.22175156047232214,7.012497187613931,95,25000
482,66.49199417758369,338.60043668122273,442.3296943231441,1571.0,1.3444129334523984,18688.266375545852,44272.44905385735,False,mChKD_2,mCherry RNAi,0.2001194128391297,-0.19727406979976614,5.644631653872935,95,25000
483,66.77380045696877,360.83929931454685,443.3092155369383,1667.0,1.438621404232638,26003.28408225438,41440.88271134806,False,mChKD_2,mCherry RNAi,0.20014157806505994,-0.14473495092636346,5.76665015893542,95,25000
484,69.54916567342075,379.42371871275327,408.5753873659118,4701.0,1.6893724978431257,29570.412693682956,48999.19189511323,False,mChKD_2,mCherry RNAi,0.3100832267195899,-0.10448492991572111,6.832408577940356,95,25000
485,65.83419155509783,531.6766220391349,309.7621009268795,1354.0,1.7281230845924855,15029.859938208034,54899.43563336766,True,mChKD_2,mCherry RNAi,0.6346700968766099,0.24413865944863944,-2.6408353239307445,95,25000
486,66.55645816409424,531.285134037368,325.0966693744923,1685.0,1.615006392052544,16387.035743298133,47335.05117790414,True,mChKD_2,mCherry RNAi,0.5874553015287605,0.24482310990813283,-1.2370563493849431,95,25000
487,67.19235364396654,543.752688172043,256.02867383512546,1200.0,1.8006550460987714,11182.73835125448,25107.69414575866,True,mChKD_2,mCherry RNAi,0.802095016689526,0.26704348263760713,-3.7723530121407833,95,25000
488,66.41594317284925,558.1168113654302,331.92975532754537,1775.0,1.3403374848975615,15770.676400947119,50345.9589581689,True,mChKD_2,mCherry RNAi,0.5699985029925982,0.30879247972315405,-1.319753257217883,95,25000
489,66.44830132939438,592.7991137370753,379.178729689808,1626.0,1.7621713680603972,24363.813146233384,38800.37223042836,False,mChKD_2,mCherry RNAi,0.4290627547493895,0.39547857714399237,0.487368308352103,95,25000
490,68.58209626630679,615.3760683760684,354.94961763382815,2729.0,1.4772231658649009,19657.370670265405,44541.625281151595,False,mChKD_2,mCherry RNAi,0.5070792502307917,0.44622371847915954,1.3407129465160068,95,25000
491,69.42015418502203,782.4174008810572,731.1795154185022,2650.0,1.7191707461312518,22094.349669603525,36320.452643171804,False,mChKD_2,mCherry RNAi,-0.6298030252338739,0.8792092100199447,17.305477134486182,95,25000
492,66.27335299901672,789.9410029498525,570.6479842674532,1234.0,1.4548137950645081,14583.389380530973,51428.05801376598,False,mChKD_2,mCherry RNAi,-0.13445940847329896,0.8801943934508114,6.988439717288514,95,25000
493,68.29320987654322,823.9742798353909,657.7407407407408,1626.0,1.5316140502295914,20378.954732510287,31654.55967078189,False,mChKD_2,mCherry RNAi,-0.39800830178923796,0.9695288217424378,12.550360834787043,95,25000
494,66.80555555555556,836.8068783068783,607.760582010582,1037.0,1.3762350287947,11085.30291005291,43268.689153439154,False,mChKD_2,mCherry RNAi,-0.2424409875191299,0.9945596181338943,8.735145682383362,95,25000
495,69.8409090909091,293.8480113636364,672.3224431818181,2063.0,1.658221578850697,21882.21306818182,46621.94886363636,False,mChKD_2,mCherry RNAi,-0.5143031478801794,-0.27880405854585766,19.57738197246843,95,25000
496,67.02733485193622,640.9111617312072,366.9464692482916,1096.0,1.587580407607385,20979.375854214122,40977.30523917996,True,mChKD_2,mCherry RNAi,0.4733377308087112,0.5076493928426187,0.08557964654804096,95,25000
497,66.9822256568779,683.7534775888718,420.03400309119013,1595.0,1.3264525139244934,26849.619783616694,36193.00386398764,False,mChKD_2,mCherry RNAi,0.3154983494761505,0.6141803810600863,1.9992851546432036,95,25000
498,67.43493150684931,687.1027397260274,401.9032534246575,1410.0,1.7827736627081394,18533.79537671233,43924.81506849315,False,mChKD_2,mCherry RNAi,0.3718922157698785,0.6201984547771815,1.6185453349249173,95,25000
499,68.4108734402852,764.4786096256685,502.8288770053476,1526.0,1.3437227615208045,19025.152406417114,53814.213903743315,False,mChKD_2,mCherry RNAi,0.07141755820663787,0.8131428498781785,6.354485365351167,95,25000
500,68.18453427065026,783.0430579964851,535.4200351493848,1375.0,1.2462799045416002,14099.45518453427,51061.48330404218,False,mChKD_2,mCherry RNAi,-0.026554048975469202,0.8602987507537545,7.401465361887205,95,25000
501,69.98040885860307,263.87223168654174,555.2103918228279,1468.0,1.5367155594499975,13770.069846678023,42080.98466780238,False,mChKD_2,mCherry RNAi,-0.15738889875912943,-0.36165848978888304,14.80700360616683,95,25000
502,69.42494398805079,277.08663181478715,606.185212845407,2029.0,1.4611494346852012,14359.698282300224,48633.31964152352,False,mChKD_2,mCherry RNAi,-0.31278693537165847,-0.32520950463125686,16.387620957304804,95,25000
503,68.60679611650485,285.9895977808599,482.9244105409154,1726.0,1.2671871572493532,13878.970180305132,46795.64008321775,False,mChKD_2,mCherry RNAi,0.06819457491072511,-0.3170555672858888,10.033808740265528,95,25000
504,69.67942583732058,299.1866028708134,485.4138755980861,1526.0,1.383210672811215,16277.003189792664,46543.20574162679,False,mChKD_2,mCherry RNAi,0.062451369491857145,-0.28566393181589655,11.095145389187905,95,25000
505,69.27474402730375,462.726393629124,323.8282138794084,2774.0,1.4147333638111346,16056.326507394766,51723.058020477816,False,mChKD_2,mCherry RNAi,0.5824838028605754,0.08309655324939147,2.0476715016039435,95,25000
506,70.98148782996229,507.7202605416524,309.0051422694549,4271.0,1.7075637665191332,17037.964004113815,49115.44977716832,False,mChKD_2,mCherry RNAi,0.6344781303740785,0.18766520947641618,2.6862191831606737,95,25000
507,71.10219341974077,526.5942173479561,272.6186440677966,3083.0,1.7366405498020288,12958.589232303091,49315.80957128614,False,mChKD_2,mCherry RNAi,0.7491866796848059,0.22838103193654802,1.0242446582813045,95,25000
508,68.62618796198521,645.7835269271384,382.337909186906,1234.0,1.5237725083616005,23052.43717001056,39322.06441393875,False,mChKD_2,mCherry RNAi,0.4267790489291261,0.5207651501268833,2.319552491861586,95,25000
509,71.31836734693877,782.5714285714286,557.0107142857142,2448.0,1.9212713425259538,14702.654591836736,49037.30663265306,False,mChKD_2,mCherry RNAi,-0.09272886806508995,0.861485870063905,11.491962081693316,95,25000
510,69.85504745470233,791.9365832614322,526.8136324417601,3008.0,1.4393972071299952,10838.082830025884,47778.15314926661,False,mChKD_2,mCherry RNAi,0.0014018438471352646,0.8803999174023409,8.608246619147323,95,25000
511,67.62663755458516,831.268558951965,643.1222707423581,720.0,1.55965683478307,20535.0327510917,25713.930131004367,False,mChKD_2,mCherry RNAi,-0.3520609873713283,0.9851944837948963,11.170948652913012,95,25000
512,70.11329170383586,286.01159678858164,556.7225691347012,1363.0,1.3742979880228892,14980.166815343444,44476.396074933094,False,mChKD_2,mCherry RNAi,-0.15904234091976244,-0.3093010636690605,14.804732729626195,95,25000
513,72.06656948493684,367.7001943634597,376.2065111758989,2614.0,1.3454103776799529,18830.04567541302,52866.59329446064,False,mChKD_2,mCherry RNAi,0.4086089352368276,-0.1354501333322099,8.021591197630883,95,25000
514,71.033186920449,551.3094192288921,316.7935578330893,3493.0,1.606385641105669,16828.884821864325,44363.864324060516,False,mChKD_2,mCherry RNAi,0.6163657266366,0.29124624120929354,2.6849678196374214,95,25000
515,70.64608695652174,598.7130434782608,283.0695652173913,1504.0,1.560589770216481,11862.452173913043,35281.41826086956,False,mChKD_2,mCherry RNAi,0.7266499164421851,0.3994947006411198,0.37331074985370094,95,25000
516,68.9981718464351,619.2440585009141,253.43418647166362,1309.0,1.421793758440668,10410.015539305301,38652.26142595978,True,mChKD_2,mCherry RNAi,0.8205314045844774,0.44478974991440845,-2.7718007792208113,95,25000
517,70.57632653061225,661.0718367346939,361.77142857142854,1458.0,1.3065255321347766,19006.45224489796,50601.07102040816,False,mChKD_2,mCherry RNAi,0.4924979692104392,0.5547038035308873,3.218012899351308,95,25000
518,69.47483989021043,666.3485818847209,374.7429094236048,1325.0,1.4010962629356272,17153.48947849954,42739.460201280875,False,mChKD_2,mCherry RNAi,0.45308019874504013,0.568475532779547,2.6436130308268275,95,25000
519,68.9074074074074,673.6840277777778,393.994212962963,1022.0,1.505101877024882,18428.559027777777,37366.041666666664,False,mChKD_2,mCherry RNAi,0.39465938983676274,0.5877633694631248,2.861876511949305,95,25000
520,70.41397379912664,694.256768558952,371.8890829694323,1353.0,1.398160089286303,16240.200873362446,50147.30480349345,False,mChKD_2,mCherry RNAi,0.4657727428218308,0.6339935297959052,3.200918213138351,95,25000
521,69.63195548489666,736.4348171701113,476.7980922098569,1515.0,1.4655452447199335,16588.17170111288,44166.908585055644,False,mChKD_2,mCherry RNAi,0.1480273016359639,0.7443368470275058,6.678047700756267,95,25000
522,68.27667984189723,797.2391304347826,597.2835968379446,1195.0,1.4348378761927045,14025.453557312252,53404.381422924904,False,mChKD_2,mCherry RNAi,-0.21528965751283102,0.9002059212925426,10.10199251538755,95,25000
523,70.3623055809698,810.1665141811528,595.0969807868253,1314.0,1.3143544074650404,12527.021043000916,54814.17749313815,False,mChKD_2,mCherry RNAi,-0.2065179163081584,0.9304925626057357,11.970795171140153,95,25000
524,69.61325420375866,813.5489614243323,622.9436201780416,1322.0,1.4426405621726666,12918.313550939663,52647.12166172107,False,mChKD_2,mCherry RNAi,-0.2919884045536214,0.9413515260288359,12.424095971938826,95,25000
525,71.60351826792963,262.2070365358593,504.8146143437077,1881.0,1.2345335788662148,12470.376860622462,47788.25642760487,False,mChKD_2,mCherry RNAi,-0.0020692487292677253,-0.37079967293328386,14.213221544827377,95,25000
526,70.39672801635992,358.95910020449895,762.5889570552147,1297.0,1.618175910471961,26459.34764826176,28821.57464212679,False,mChKD_2,mCherry RNAi,-0.7836398365961061,-0.11589223937417381,23.533749108831714,95,25000
527,71.97843499691929,450.31053604436227,321.1879235982748,2014.0,1.167162127906251,15976.167590881085,52180.280961182994,False,mChKD_2,mCherry RNAi,0.5893175981162395,0.05359482607996524,4.744997506891693,95,25000
528,68.88148984198645,544.5169300225733,301.0620767494357,1089.0,1.5533621846082735,13071.756207674944,54279.26749435666,True,mChKD_2,mCherry RNAi,0.6636370368918287,0.2735586897617506,-0.09881943772319346,95,25000
529,70.7907133243607,554.8398384925976,287.4555854643338,2279.0,1.397227577338045,13258.606325706594,50735.89232839838,False,mChKD_2,mCherry RNAi,0.7072291609771497,0.2965137903664017,1.1120956256084753,95,25000
530,70.00347463516331,581.1132731063238,311.5170257123002,1690.0,1.523274432354951,13452.220986796387,41780.62056984017,False,mChKD_2,mCherry RNAi,0.6365097534099255,0.3609483008029273,1.1509222862002702,95,25000
531,70.63527758257203,638.1925509486999,318.43148278285315,1759.0,1.3805111179187977,12338.292340126492,49376.7638791286,False,mChKD_2,mCherry RNAi,0.6229919967708164,0.49625381497858845,1.5674523781536323,95,25000
532,71.46872803935348,646.6549543218553,354.9002108222066,1821.0,1.5694161255043784,16294.404075895995,53470.66198172874,False,mChKD_2,mCherry RNAi,0.5118518787416839,0.5200134862908015,3.9368991303630736,95,25000
533,69.98068077276909,705.8960441582336,379.93376264949404,1256.0,1.2731995180123286,14476.44342226311,45128.04415823367,False,mChKD_2,mCherry RNAi,0.4424904772902052,0.6622649393504987,3.0179426282504664,95,25000
534,78.05807248764415,825.6470345963756,630.5123558484349,4752.0,1.4242915272757941,19748.47817133443,34890.83978583196,False,mChKD_2,mCherry RNAi,-0.31251866734509126,0.9708053357843358,21.084913280244805,95,25000
535,71.44223107569721,826.6294820717131,617.816733067729,1107.0,1.2828975126224196,18644.39176626826,32370.239043824702,False,mChKD_2,mCherry RNAi,-0.27416937409955977,0.9716890017711843,13.904984215472595,95,25000
536,70.66124031007752,260.5403100775194,528.4341085271318,1469.0,1.3421717084960003,11691.437209302325,49074.21240310078,False,mChKD_2,mCherry RNAi,-0.07521984821120065,-0.37228813531448457,14.33246364946838,95,25000
537,71.75436147941382,278.62735519888344,544.0153524075366,1716.0,1.4501649060556645,15394.294487090021,48192.14724354501,False,mChKD_2,mCherry RNAi,-0.12064920774769539,-0.3280050062075376,15.949083894462248,95,25000
