label,centroid_x,centroid_y,centroid_z,area,aspherity,int,sample,type,bsh_num,x_std,y_std,z_std,r,theta,rotation
882,37.15256916996047,594.896442687747,783.3573122529644,1716.0,1.5645394806525692,16217.562055335968,mCherryi_3,mCherry RNAi,932,0.5402670564424239,-0.06111552364924833,-16.300452996394828,0.5437127913778405,-0.11264211114872015,-75
883,36.70177514792899,604.7917159763314,667.807100591716,2101.0,1.6596459389539826,13660.368047337279,mCherryi_3,mCherry RNAi,932,0.2750344770840749,-0.13737213854244812,-9.940780859162395,0.3074330301588235,-0.46322546376535634,-75
884,37.804819277108436,620.5228915662651,689.2132530120482,1000.0,1.4626715430817048,17639.736144578314,mCherryi_3,mCherry RNAi,932,0.33207166872764704,-0.16549788858002212,-9.747506011130778,0.3710271476536583,-0.4623507942684609,-75
885,37.84031791907515,626.8432080924855,809.653901734104,1727.0,1.2799315847238772,17577.942919075143,mCherryi_3,mCherry RNAi,932,0.6158384447096756,-0.12613388097836753,-16.474869412781043,0.6286228964276573,-0.2020225007169763,-75
886,37.03691275167785,657.7869127516778,863.619966442953,1595.0,1.4086578943391352,12407.907718120805,mCherryi_3,mCherry RNAi,932,0.7553273351893717,-0.17630428405984,-19.740797207910685,0.7756304428412607,-0.2293088220066774,-75
887,38.94589371980676,704.8666666666667,745.4386473429952,1521.0,1.7231248020745982,9444.411594202898,mCherryi_3,mCherry RNAi,932,0.5007104219521645,-0.3431892333080191,-10.126218170837797,0.6070335876292683,-0.600863092047356,-75
888,38.89121756487026,709.6087824351298,823.0229540918164,2591.0,1.432708986381737,17386.56487025948,mCherryi_3,mCherry RNAi,932,0.6837918171196129,-0.3194543559489609,-14.523677344982445,0.7547332871249999,-0.43704920373507267,-75
889,37.18390804597701,756.6469622331691,757.4975369458128,850.0,1.5037784508319973,8119.5763546798025,mCherryi_3,mCherry RNAi,932,0.5515413487367724,-0.46264126804150285,-11.53187711643566,0.7198852702072933,-0.6979647677285046,-75
890,35.94679186228482,765.2801251956181,820.6056338028169,976.0,1.3778405312438278,7115.758998435055,mCherryi_3,mCherry RNAi,932,0.7024273213890371,-0.4549334552903316,-16.203080873949624,0.8368802725457075,-0.5747278445733696,-75
891,36.25239338555266,778.8537859007832,744.2550043516101,1500.0,1.5978331710122249,9213.225413402959,mCherryi_3,mCherry RNAi,932,0.5303623455514206,-0.5222300459772745,-11.256823627889105,0.7443174312752797,-0.7776723448964011,-75
892,37.42449286250939,784.5251690458302,722.7843726521412,1608.0,1.667485250500888,9987.88204357626,mCherryi_3,mCherry RNAi,932,0.48293209680273796,-0.5455423204209557,-8.744371414145297,0.7285875606216248,-0.8461999198042475,-75
893,37.398128898128896,786.3913721413721,603.1881496881497,2293.0,1.3975173047573521,16011.816528066529,mCherryi_3,mCherry RNAi,932,0.2047599726594378,-0.6042517793288065,-1.8913074826571794,0.6380022407684179,-1.2440752742751982,-75
894,38.06883365200765,824.3932441045251,529.1389420012747,1812.0,1.3560137369817256,13633.839388145316,mCherryi_3,mCherry RNAi,932,0.04892207345341171,-0.7293480856399841,3.7797471824745017,0.7309870035080587,-1.5038202134850254,-75
895,37.00066666666667,825.524,677.5493333333334,1850.0,1.484969310102916,8077.950666666667,mCherryi_3,mCherry RNAi,932,0.3955020774292939,-0.6648819632876493,-5.753853201908292,0.7736213016432045,-1.034175482963655,-75
896,37.39684625492772,896.80814717477,681.5716162943495,1015.0,1.221951707449219,5501.978975032852,mCherryi_3,mCherry RNAi,932,0.43648748732788434,-0.8348185831279598,-4.152726387069809,0.9420421398905594,-1.089033827154706,-75
