label,centroid_x,centroid_y,centroid_z,area,aspherity,int,sample,type,bsh_num,x_std,y_std,z_std,r,theta,rotation
1372,57.48326639892905,102.52208835341365,338.7710843373494,1292.0,1.8413067541604886,8289.046854082999,Vsx1i_1,Vsx1 NE RNAi,884,0.27328732540700673,-0.8460185831743854,17.299169264319723,0.8890632178335294,-1.2583494580599042,75
1373,58.36004390779363,132.22392974753018,370.98682766191,1444.0,1.3000433791474304,7874.428100987925,Vsx1i_1,Vsx1 NE RNAi,884,0.18205604802493291,-0.7863117873888541,19.564743279958925,0.8071125272284597,-1.343273750975598,75
1374,59.35470085470085,131.38522588522588,352.07509157509156,2501.0,1.4414815742450828,12856.60866910867,Vsx1i_1,Vsx1 NE RNAi,884,0.23125321777109287,-0.7837325081546678,19.943143539764485,0.8171381126026928,-1.2838717908993815,75
1375,55.75432525951557,161.83391003460207,309.1522491349481,622.0,1.7623505302569837,14994.764705882353,Vsx1i_1,Vsx1 NE RNAi,884,0.3336594462122495,-0.7043562978037401,15.337165991110616,0.7793884912560975,-1.1284024038537341,75
1376,57.77902321857486,160.2738190552442,547.173738991193,1601.0,1.7919254627092347,13290.197758206565,Vsx1i_1,Vsx1 NE RNAi,884,-0.2810033796238419,-0.7645965037497143,24.96358015101996,0.8145984979769529,-1.9229918178912602,75
1377,57.604330708661415,181.17027559055117,424.75688976377955,1336.0,1.5455417676518044,11318.99409448819,Vsx1i_1,Vsx1 NE RNAi,884,0.02976420307570371,-0.6880383113153643,21.12075416536829,0.6886818028831819,-1.5275637674455695,75
1378,58.71878515185602,194.19910011248595,172.74971878515186,2330.0,1.3028304224817582,16048.173790776153,Vsx1i_1,Vsx1 NE RNAi,884,0.6777470349975618,-0.598508381005212,14.321948383889342,0.9041865546343113,-0.723390925564047,75
1379,57.337078651685395,255.7865168539326,179.8689138576779,668.0,1.6214266000153161,8502.876404494382,Vsx1i_1,Vsx1 NE RNAi,884,0.6425699135946425,-0.46043505925608885,13.910772977394707,0.7905039769977027,-0.6217488377841036,75
1380,57.58841843088418,267.10896637608965,445.8623910336239,1977.0,1.5793266571136355,10721.254669987547,Vsx1i_1,Vsx1 NE RNAi,884,-0.04803401736565793,-0.49806870521185265,22.815715848483897,0.5003795578715179,-1.6669395385502284,75
1381,60.060755336617405,380.61959496442256,46.036672140120416,2687.0,1.2098696873411907,9265.706622879037,Vsx1i_1,Vsx1 NE RNAi,884,0.9549856112997575,-0.14538620205655872,13.850898926294342,0.9659889572546893,-0.15107910719597434,75
1382,58.18397435897436,378.30641025641023,216.93141025641026,1911.0,1.3954034620021716,11360.430128205127,Vsx1i_1,Vsx1 NE RNAi,884,0.5137057930597442,-0.191278872412448,17.419580587006642,0.5481616995508882,-0.3564462505251628,75
