label,centroid_x,centroid_y,centroid_z,area,aspherity,int_0,int_1,int_2,sample,type,x_std,y_std,z_std,r,theta,rotation
3385,97.6368989205103,607.5789990186457,220.23846908734052,1175.0,1.314166562734247,277.90775269872427,755.8341511285574,644.8096172718351,Vsx_enhNB3_1,enhNB3,0.6597037512347383,0.41954024112183474,24.501967148611,0.7818075551654338,0.5664365212464687,125
3386,98.06984298863021,605.8218733080671,870.4055224688684,2198.0,1.569148919327918,826.7065511640498,180.84136437466162,931.8543584190579,Vsx_enhNB3_1,enhNB3,-0.7668537716111458,0.04838630642953623,17.260685633121994,0.7683787748787263,3.0785790146729735,125
3387,99.89778645833333,650.5149739583334,328.1184895833333,1971.0,1.3951096890840073,150.05989583333334,253.60091145833334,608.8515625,Vsx_enhNB3_1,enhNB3,0.3987309638732073,0.45370423559462214,25.23347418323432,0.6040148300727038,0.8497986616117195,125
3388,99.23152709359606,666.1023535851122,797.5396825396825,2190.0,1.4493965148852292,271.35413245758076,159.32840722495894,1648.5353037766831,Vsx_enhNB3_1,enhNB3,-0.6406545681259705,0.22305481744461808,18.926744581162396,0.6783743267886291,2.8065516752270585,125
3389,98.83382613837966,736.1129509166174,684.2637492607925,2031.0,1.2736086163619231,150.82968657599054,339.03843879361324,708.2087522176228,Vsx_enhNB3_1,enhNB3,-0.43113224853965215,0.44208897746831766,19.453592728599887,0.6175092547726221,2.343647665115346,125
3390,99.56576200417537,725.4203201113431,622.6555323590815,1713.0,1.4017961019396512,161.4189283228949,197.48851774530272,890.295059151009,Vsx_enhNB3_1,enhNB3,-0.2898973495797982,0.4532143010652039,20.976918604443014,0.5379996988692587,2.139859336372815,125
3391,99.83592880978865,737.0,646.2018909899889,2104.0,1.306940776437491,167.54505005561737,211.19299221357065,724.983870967742,Vsx_enhNB3_1,enhNB3,-0.34808837115726554,0.4655602523661182,20.900226546969748,0.5813018688410712,2.212808613927741,125
3392,99.77160493827161,807.6391694725028,585.8563411896745,2049.0,1.4687133224254822,146.46127946127947,296.14590347923684,750.6066217732885,Vsx_enhNB3_1,enhNB3,-0.2551435091960911,0.6560894021717549,21.13109704215914,0.7039541987423519,1.941684478590484,125
3393,99.41137326073805,815.1415607985481,413.30671506352087,1946.0,1.2202820743235965,746.6938898971567,234.77918935269207,1490.0060496067756,Vsx_enhNB3_1,enhNB3,0.11952192541683249,0.7701718697968332,22.765929556111615,0.7793909158321625,1.4168358172069062,125
3394,99.16291161178509,822.0473714615829,336.8601964182553,2067.0,1.3155206301932265,784.3171577123051,224.84979780473714,1558.6707105719238,Vsx_enhNB3_1,enhNB3,0.28351091051694155,0.8286472698377247,23.38017162146342,0.8758051919186483,1.2411434868676554,125
3395,99.84368308351178,862.2906852248394,488.1948608137045,2260.0,1.3331415398510522,711.8228051391862,166.16595289079228,1092.3816916488222,Vsx_enhNB3_1,enhNB3,-0.07131838371345711,0.8322911894687313,22.034028479837644,0.8353412092808395,1.6562767385625636,125
3396,97.50410509031198,865.6912972085386,639.0311986863711,823.0,1.6170715495933958,246.71592775041051,114.87027914614121,549.6683087027915,Vsx_enhNB3_1,enhNB3,-0.4043354082630263,0.754603159728858,17.89173367798918,0.856103411421777,2.062691699825465,125
3397,99.66,168.10210526315788,385.87368421052633,1233.0,1.3901284286721514,247.90105263157895,238.18315789473684,568.1526315789474,Vsx_enhNB3_1,enhNB3,0.5420512778504889,-0.6473019338576682,27.16811240784233,0.8442863148217109,-0.873662265840273,125
3398,99.89359129383313,175.14510278113664,292.34945586457076,1032.0,1.4200093741518913,1160.8911729141475,311.2212817412334,1361.447400241838,Vsx_enhNB3_1,enhNB3,0.7434457340738356,-0.5788727833963059,28.465401740740717,0.9422341847277516,-0.6615769905824606,125
3399,101.57001484413657,197.59722909450767,303.1296387926769,2371.0,1.2163284624372106,744.9925779317169,943.7031172686789,2453.8317664522515,Vsx_enhNB3_1,enhNB3,0.7071554758406486,-0.5352276915611629,29.881386389340108,0.8868695218719074,-0.647886060706795,125
3400,99.98519515477793,195.18102288021535,355.2577388963661,1790.0,1.4285885285542541,869.1958277254374,257.68236877523555,1500.628532974428,Vsx_enhNB3_1,enhNB3,0.5941005749079327,-0.570034990720617,27.694881793483432,0.8233440251509633,-0.764728614576586,125
3401,99.36803652968037,207.2365296803653,348.9470319634703,1292.0,1.4256769985874798,1116.1287671232876,247.248401826484,1630.2410958904109,Vsx_enhNB3_1,enhNB3,0.601224269660829,-0.5397753418268929,27.081018478721134,0.8079777485014895,-0.731594795191916,125
3402,100.44947735191637,210.94982578397213,241.22508710801392,1635.0,1.2692421298048002,829.9087108013937,904.8940766550522,2819.1728222996517,Vsx_enhNB3_1,enhNB3,0.8356313326718074,-0.4706949094710633,29.413597786696386,0.9590794659176233,-0.5129822324073602,125
3403,100.17358008934269,338.1174218251436,196.6215698787492,1973.0,1.3474811054123303,331.7740906190172,736.669432035737,858.17102744097,Vsx_enhNB3_1,enhNB3,0.8623660805400113,-0.16386826710354074,28.912303056659354,0.8777972806004007,-0.18778288862766127,125
3404,100.0425702811245,389.52289156626506,696.4947791164659,1511.0,1.3475477588519555,906.3140562248996,228.7686746987952,619.8835341365461,Vsx_enhNB3_1,enhNB3,-0.26395259941436755,-0.33239107327062756,22.56887146783221,0.4244464634410343,-2.2419309046845592,125
3405,99.4419410745234,400.7677642980936,183.28162911611784,1352.0,1.3367503633098754,344.3951473136915,995.2175043327557,1013.3466204506066,Vsx_enhNB3_1,enhNB3,0.8565966401755978,-0.017588386365398168,27.967618248932325,0.8567771911617752,-0.02052998391392761,125
3406,100.79815986198965,404.30017251293845,300.51466359976996,2092.0,1.4711484580671992,168.07015526164463,1126.4255319148936,795.1253594019552,Vsx_enhNB3_1,enhNB3,0.5971781984757247,-0.07597898683593984,27.91718834695598,0.6019921986000549,-0.12655008851359503,125
3407,100.76102941176471,408.9810924369748,287.57405462184875,2193.0,1.3490425005063496,186.1685924369748,948.3476890756302,1031.047268907563,Vsx_enhNB3_1,enhNB3,0.6229710855705779,-0.05830271467404147,28.0053086072094,0.6256933593984733,-0.09331634406952724,125
3408,99.85536455245999,413.89804386484883,177.22880853586247,1979.0,1.4151422856846816,883.4410195613515,1095.6010669828097,1834.85536455246,Vsx_enhNB3_1,enhNB3,0.8625221393396403,0.014912470845609649,28.374838171906745,0.8626510433760287,0.01728765505321611,125
3409,100.73968079251513,426.0924600990644,317.105668684645,2165.0,1.5470189568751405,148.41166758392956,597.8183819482664,1057.4254265272427,Vsx_enhNB3_1,enhNB3,0.5485497497311558,-0.037088777339760015,27.53364657911662,0.5498021510822524,-0.06750967528671735,125
3410,100.20011947431303,443.5973715651135,329.9593787335723,1953.0,1.3800471964183603,158.27658303464756,674.4145758661888,1023.6899641577061,Vsx_enhNB3_1,enhNB3,0.5105417887306058,-0.00558562057467904,26.738610918660314,0.5105723427658914,-0.0109401382116665,125
3411,101.2155809267965,445.24781732706515,291.06447280053726,1836.0,1.2667811985922126,190.72666218938886,1476.2934855607791,1788.1524513096037,Vsx_enhNB3_1,enhNB3,0.5949868858254843,0.0200469741055207,28.203930511679886,0.5953245127450199,0.03368039495926761,125
