label,centroid_x,centroid_y,centroid_z,area,aspherity,int_0,int_1,int_2,sample,type,x_std,y_std,z_std,rotation,yflip,dac_threshold,soxn_threshold
119,38.42686993806574,106.23106241067175,353.07241543592187,2623.0,1.1735927371070973,14127.830395426394,7244.833253930443,15102.504525964745,Bi_3,Bi OE,0.3990800615166201,0.7838237916844525,-13.594095843296692,85,True,17500,30000
120,38.454905063291136,190.6977848101266,456.7721518987342,1638.0,1.290043173382341,7586.702531645569,6741.56170886076,37322.00079113924,Bi_3,Bi OE,0.12505723709309047,0.6222844404007768,-12.232161747226122,85,True,17500,30000
121,37.07487091222031,563.933734939759,154.73924268502583,1455.0,1.43670854816945,19790.7495697074,9342.679862306368,45176.45266781411,Bi_3,Bi OE,0.823306006169839,-0.19249345372112225,-22.28771144639731,85,True,17500,30000
122,38.714046822742475,574.0167224080268,161.39464882943145,1646.0,1.396947025835985,20705.030100334447,10053.889632107024,36679.46906354515,Bi_3,Bi OE,0.8050447689591174,-0.21256763070411422,-20.599342427169063,85,True,17500,30000
123,35.36962750716332,581.2502387774595,188.1766953199618,1364.0,1.4192005380312824,14926.997134670488,8706.507163323782,32758.95224450812,Bi_3,Bi OE,0.7364670091124443,-0.2239608091044365,-23.485740564975117,85,True,17500,30000
124,37.01778304682869,640.0740960284529,169.47895672791938,2161.0,1.3754061700338878,19730.627148784824,8470.231772377001,11692.256075874333,Bi_3,Bi OE,0.7740177776825661,-0.3485684327228311,-22.651351205347318,85,True,17500,30000
125,37.91405905685324,690.5839576906126,280.48038783605114,2719.0,1.4506287358128052,16262.846628470692,10009.177611282503,5884.4530630233585,Bi_3,Bi OE,0.4871722744712561,-0.4386741405920911,-20.01872692631982,85,True,17500,30000
126,36.02903225806452,710.5225806451613,237.44354838709677,933.0,1.8064556572143955,10097.982258064516,8988.23870967742,5144.267741935484,Bi_3,Bi OE,0.5919447232595125,-0.4857408162664738,-22.882386681680202,85,True,17500,30000
127,35.80330882352941,761.6746323529412,264.1654411764706,688.0,1.3040719626767183,10562.430147058823,8502.69669117647,4635.042279411765,Bi_3,Bi OE,0.5165861380553374,-0.588355834684912,-22.99167502500569,85,True,17500,30000
128,37.712553495007135,261.5299572039943,361.9679029957204,1805.0,1.3413840736137894,11902.691155492153,7990.220399429387,56327.25249643366,Bi_3,Bi OE,0.3516794938410388,0.4626858262567949,-15.33922062365236,85,True,17500,30000
129,37.06323396567299,435.613369467028,227.4245709123758,1366.0,1.489979092489082,17321.413730803975,8746.12285456188,32051.05058717254,Bi_3,Bi OE,0.661458561582023,0.08350103356123284,-19.913634429358936,85,True,17500,30000
130,37.837340153452686,457.8859335038363,375.55038363171354,2352.0,1.3836376208883594,19574.33401534527,10792.957544757033,5011.257289002558,Bi_3,Bi OE,0.2859313282962299,0.05693827456492717,-16.473227189860644,85,True,17500,30000
131,41.46069066862601,728.573108008817,368.5657604702425,1883.0,1.1666005011745137,18721.975018368845,10516.859662013225,5411.459955914768,Bi_3,Bi OE,0.26001581546575214,-0.5058862027866544,-15.078626470570036,85,True,17500,30000
132,38.62506963788301,803.9147632311978,500.0451253481894,2367.0,1.6842105895225052,17975.443454038996,9261.267409470753,3747.038997214485,Bi_3,Bi OE,-0.08243093064523233,-0.6447418213475993,-15.97675679125642,85,True,17500,30000
133,41.09478324761205,61.792064658339456,556.9206465833946,1603.0,1.329310795329641,12886.030124908155,6239.412931667891,12569.307861866275,Bi_3,Bi OE,-0.10553712592240172,0.9030932561595485,-6.676286524388978,85,True,17500,30000
134,39.95446584938704,106.77495621716287,752.7434325744308,1462.0,1.1924190189381483,19366.099824868652,6542.193520140105,10257.800350262696,Bi_3,Bi OE,-0.604591009018295,0.8357663003124696,-4.411493986407258,85,True,17500,30000
135,39.618110236220474,266.82047244094485,289.86614173228344,1562.0,1.41394064688883,14909.592913385826,9390.78346456693,32764.356692913385,Bi_3,Bi OE,0.5319783564925786,0.44209020038485913,-14.856802198989968,85,True,17500,30000
136,38.784413692643845,267.3962126729789,329.2432629278951,1685.0,1.2614992028353749,18535.43772760379,8654.90677348871,42135.640932265116,Bi_3,Bi OE,0.432962532550766,0.4461423244018956,-14.940127528060458,85,True,17500,30000
137,37.515007898894154,422.4265402843602,249.39336492890996,765.0,1.4226029140294831,11564.957345971565,9451.554502369669,42088.121642969985,Bi_3,Bi OE,0.608436895700516,0.11378150922046137,-18.93891625728913,85,True,17500,30000
138,39.9299674267101,587.1311074918567,172.1026058631922,1593.0,1.7370003003302683,19632.732084690553,9626.837947882736,18723.957654723126,Bi_3,Bi OE,0.7760983534786319,-0.2383873806077137,-19.279924560301517,85,True,17500,30000
139,41.502606105733435,667.4631422189129,165.74758004467608,1944.0,1.2969813051770693,25753.804169769173,9172.72970960536,33159.65524944155,Bi_3,Bi OE,0.7791841653560425,-0.40599540198661876,-18.45088643235561,85,True,17500,30000
140,43.49846692947876,128.32019272886552,465.3915900131406,2862.0,1.132959963075728,16585.432763907138,6967.404292597459,17547.434515987734,Bi_3,Bi OE,0.11370163391803123,0.7528045686892652,-6.541916923955526,85,True,17500,30000
