label,centroid_x,centroid_y,centroid_z,area,aspherity,int_0,int_1,int_2,sample,type,x_std,y_std,z_std,rotation,yflip,dac_threshold,soxn_threshold
112,35.1792343387471,278.81206496519724,648.6554524361949,4572.0,1.471640318599571,48712.24535962877,23661.78915313225,56216.623839907195,LacZ_3,LacZ OE,0.22695385732540663,-0.817671031326852,-3.857979636674706,-75,True,17500,30000
113,33.922443674176776,295.29506065857885,684.7889948006932,3076.0,1.3951380089573981,51207.719237435005,21430.705805892547,13961.67417677643,LacZ_3,LacZ OE,0.32594059209154924,-0.7961250498437866,-4.343779004694824,-75,True,17500,30000
114,33.18998109640832,336.36672967863893,600.3104914933838,2475.0,1.4358859676658804,57230.87051039698,42353.86436672968,13010.63516068053,LacZ_3,LacZ OE,0.13854928648150322,-0.6443641625879208,-7.996084647003961,-75,True,17500,30000
115,31.950068399452803,352.20861833105334,679.0738714090287,1833.0,1.545295208325797,50505.59712722298,25136.35020519836,63164.604651162794,LacZ_3,LacZ OE,0.34317270178270154,-0.6483736576349715,-7.273750026704292,-75,True,17500,30000
116,34.8808905380334,359.9936920222635,713.7005565862709,3364.0,1.3624341355495075,49450.120964749534,20894.989239332095,10992.438589981448,LacZ_3,LacZ OE,0.4333698012858842,-0.6478726466262454,-3.49348137917881,-75,True,17500,30000
117,35.668227946916474,368.59484777517565,752.7884465261515,1744.0,1.5482909998995893,53491.53317720531,21537.276346604216,16958.792349726777,LacZ_3,LacZ OE,0.5352391787805617,-0.6479115279182079,-1.7434106050539881,-75,True,17500,30000
118,30.88235294117647,424.15868673050613,787.6196990424077,918.0,1.4916264158184096,57686.807113543095,19559.673050615595,28859.448700410398,LacZ_3,LacZ OE,0.6527112443673007,-0.5264923927161524,-6.342076302741617,-75,True,17500,30000
119,32.86777301927195,531.0380085653105,740.2665952890792,2220.0,1.4135481676205497,27767.72858672377,18769.559421841543,8577.248394004282,LacZ_3,LacZ OE,0.593673767150841,-0.2281804595258945,-7.1732949442706655,-75,True,17500,30000
120,32.75586206896552,609.94,695.0944827586206,1753.0,1.5231642398472847,27366.78896551724,19589.97655172414,9172.3,LacZ_3,LacZ OE,0.5247907829902134,-0.0023042083916726686,-9.64705898867416,-75,True,17500,30000
121,35.8547418967587,218.19807923169267,619.3415366146459,2274.0,1.6275669235941488,41312.708283313325,23302.849339735894,7347.811524609844,LacZ_3,LacZ OE,0.12067207517863299,-0.9552326951978527,-3.143690461056508,-75,True,17500,30000
