label,centroid_x,centroid_y,centroid_z,area,aspherity,int,sample,type,x_std,y_std,z_std,rotation,int_threshold
1738,35.43850267379679,516.0374331550802,392.9982174688057,1246.0,1.7925508213142483,40671.27272727273,mChi_2,mCherry RNAi,0.19011669948751497,-0.04015964128898164,-6.059528427199048,95,2000
1739,35.648865153538054,516.1174899866488,235.8811748998665,941.0,1.549143835341901,29280.766355140186,mChi_2,mCherry RNAi,0.6477119293033553,-0.0736948270920198,-3.3273089024454023,95,2000
1740,36.79511143062545,524.9791516894321,309.7534148094896,2002.0,1.5669473503782827,45302.78145219267,mChi_2,mCherry RNAi,0.4347382704619822,-0.03592201905143122,-3.2236988483350473,95,2000
1741,35.63687150837989,529.6368715083798,329.04804469273745,1184.0,1.5666567919179122,45525.24469273743,mChi_2,mCherry RNAi,0.3797753135465243,-0.02019706955505074,-4.616131757235763,95,2000
1742,35.03370786516854,537.294382022472,206.0123595505618,1161.0,1.6869078667902426,51175.137078651685,mChi_2,mCherry RNAi,0.740059859669532,-0.027611263948704612,-3.1218972149847204,95,2000
1743,35.03087649402391,552.7141434262949,277.3934262948207,1175.0,1.323395995002449,39064.82768924303,mChi_2,mCherry RNAi,0.5360495342024565,0.02591854413832495,-4.021430472747056,95,2000
1744,34.955334987593055,554.1191066997519,175.71712158808933,544.0,1.539126121625653,20715.736972704715,mChi_2,mCherry RNAi,0.8325276343682322,0.007577277379245517,-2.443125834058975,95,2000
1745,34.372372372372375,552.8498498498499,233.57357357357358,844.0,1.5479701927563319,24016.606606606605,mChi_2,mCherry RNAi,0.6637375261772116,0.016872702827972486,-3.974577815741796,95,2000
1746,35.440872560275544,549.8851894374283,335.70723306544204,1042.0,1.5670436080615617,51038.13088404133,mChi_2,mCherry RNAi,0.36548465291486854,0.03141125512659482,-4.5926494071234245,95,2000
1747,36.355541319666884,555.4106342088405,390.8545803971813,2070.0,1.6731732354390099,37287.95836002562,mChi_2,mCherry RNAi,0.20621767138047908,0.056906576706864165,-4.473911291580336,95,2000
1748,34.94422310756972,559.6852589641434,344.75166002656044,938.0,1.581668812197443,47043.988047808765,mChi_2,mCherry RNAi,0.3416342343778429,0.05765364284770058,-5.0763600367342505,95,2000
1749,36.254852849092046,565.4990607388854,319.3143393863494,2071.0,1.6354729449252459,40018.05635566688,mChi_2,mCherry RNAi,0.41711349203599735,0.06655115345546503,-3.2643008667678473,95,2000
1750,37.398005439709884,558.9746146872167,356.62737987307344,1482.0,1.6071389299115655,47275.58386219401,mChi_2,mCherry RNAi,0.30674413981091564,0.05835242701052712,-2.825184426270539,95,2000
1751,36.5496866606983,554.3240823634736,421.0528200537153,1648.0,1.7037855175821959,35218.55953446732,mChi_2,mCherry RNAi,0.11798549731611341,0.06068939619462399,-4.781792855888376,95,2000
1752,35.849162011173185,570.0391061452514,158.2122905027933,1119.0,1.4158018294054158,26172.153072625697,mChi_2,mCherry RNAi,0.8874678185965224,0.043234111021237975,-1.0121797608050969,95,2000
1753,35.06258322237017,572.0319573901464,209.56724367509986,909.0,1.5396154628946184,38050.00932090546,mChi_2,mCherry RNAi,0.7384435315250633,0.05922431732976641,-2.590329272665244,95,2000
1754,34.933216168717045,575.0184534270651,361.26362038664325,1411.0,1.5931723380027083,43510.53075571178,mChi_2,mCherry RNAi,0.2974026701478625,0.09919135256160239,-5.10519906988722,95,2000
1755,35.79312762973352,581.070126227209,272.98316970546983,1720.0,1.643625875490065,43644.25175315568,mChi_2,mCherry RNAi,0.5559882291116072,0.09520515372079252,-2.731719370832252,95,2000
1756,36.1858774662513,575.3021806853583,347.5908618899273,1269.0,1.505575997534385,43598.30425752856,mChi_2,mCherry RNAi,0.3372307968069077,0.09691374857722201,-3.6289384663120643,95,2000
1757,36.58187134502924,582.938596491228,195.30409356725147,903.0,1.4649240655788995,32600.074561403508,mChi_2,mCherry RNAi,0.7826497906087146,0.08313194889448927,-0.6668708458469368,95,2000
1758,36.062630480167016,600.1492693110647,264.95302713987473,1161.0,1.45884122767393,48406.23382045929,mChi_2,mCherry RNAi,0.5841608462282373,0.1407463527533901,-2.026034373851239,95,2000
1759,35.0368,608.624,289.4288,817.0,1.5542050454315697,30829.2752,mChi_2,mCherry RNAi,0.5150618464864152,0.1670365033104224,-3.3077089382125564,95,2000
1760,35.490979381443296,614.0502577319587,330.1572164948454,1081.0,1.5535983733570473,21804.725515463917,mChi_2,mCherry RNAi,0.39778682216692096,0.18920777276971723,-3.4196171175162746,95,2000
1761,35.25328330206379,623.5037523452157,294.62007504690433,1285.0,1.4334080007424168,44259.20731707317,mChi_2,mCherry RNAi,0.503674890439366,0.20501232657337787,-2.934805682578414,95,2000
1762,35.09208972845337,630.2703659976387,353.19244391971665,1206.0,1.476007946628138,27690.063754427392,mChi_2,mCherry RNAi,0.33479978004759436,0.23435750067238437,-3.926600102052376,95,2000
1763,35.28917378917379,635.4615384615385,303.4871794871795,865.0,1.4008030672612306,20814.019943019943,mChi_2,mCherry RNAi,0.48085663630281195,0.23654365798534704,-2.848501720139595,95,2000
1764,34.40667490729295,639.4746600741656,290.6254635352287,1038.0,1.5494956847678165,24261.0543881335,mChi_2,mCherry RNAi,0.5193692768861324,0.24375884160446004,-3.4597685968256897,95,2000
1765,34.14509803921569,641.5058823529412,260.97254901960787,645.0,1.5789214817237769,23918.849019607842,mChi_2,mCherry RNAi,0.6062543120775072,0.24243626538299634,-3.2128281592961443,95,2000
1766,35.78152173913043,647.9271739130435,273.2119565217391,1277.0,1.6557428330061945,31541.01847826087,mChi_2,mCherry RNAi,0.5721405909966537,0.26091461778530456,-1.669716713761602,95,2000
1767,34.8047263681592,654.4589552238806,321.9365671641791,968.0,1.444212937166116,27210.501243781095,mChi_2,mCherry RNAi,0.4319283240671423,0.2875938158472451,-3.3226988183959776,95,2000
1768,34.590017825311946,659.4973262032086,224.79500891265596,726.0,1.7468992999556694,19282.670231729055,mChi_2,mCherry RNAi,0.7161205462016185,0.27923397225626556,-1.8977304119701373,95,2000
1769,34.8411867364747,658.6195462478184,258.0541012216405,721.0,1.387066784129136,23737.160558464224,mChi_2,mCherry RNAi,0.6190236028470182,0.2841890363904924,-2.194344299259896,95,2000
1770,34.879641485275286,677.7695262483995,348.8181818181818,938.0,1.4932924887877925,25667.350832266326,mChi_2,mCherry RNAi,0.3594986727654841,0.35112080996611916,-3.303457429826558,95,2000
1771,34.4485294117647,687.8191176470589,340.0147058823529,844.0,1.5994389333139678,16858.430882352943,mChi_2,mCherry RNAi,0.38768771021863624,0.37414794497918935,-3.431293964208521,95,2000
1772,34.36016371077763,687.6821282401091,268.2305593451569,944.0,1.7145089965332103,21061.105047748977,mChi_2,mCherry RNAi,0.5967210188428163,0.3584029458539455,-2.3702143953089276,95,2000
1773,34.74029850746269,689.0626865671642,372.03880597014927,808.0,1.578925173484177,20064.294029850746,mChi_2,mCherry RNAi,0.2947191128008322,0.384092757991914,-3.633323680917613,95,2000
1774,35.183035714285715,688.1506696428571,283.92075892857144,1077.0,1.4618910760793256,34130.103794642855,mChi_2,mCherry RNAi,0.5511011407624282,0.3629018524529737,-1.7917226174298833,95,2000
1775,34.83582089552239,698.9701492537314,201.40298507462686,650.0,1.494456737290285,17358.901119402984,mChi_2,mCherry RNAi,0.7941642149503576,0.3720104688501329,-0.6406832017381063,95,2000
1776,35.79917469050894,699.6382393397524,315.665749656121,904.0,1.3445141988247813,19232.81843191197,mChi_2,mCherry RNAi,0.4615058521487332,0.39815773747421757,-1.4999257124139334,95,2000
1777,35.959514170040485,706.7408906882591,325.9527665317139,963.0,1.3165725998019628,17750.874493927124,mChi_2,mCherry RNAi,0.4333246179352668,0.41795915355423285,-1.3902159152301294,95,2000
1778,35.23913043478261,713.6195652173913,349.9470108695652,894.0,1.6527425901507544,21005.349184782608,mChi_2,mCherry RNAi,0.3652110098254353,0.44018005107584113,-2.3845150167416307,95,2000
1779,35.63682864450128,732.5869565217391,219.6291560102302,984.0,1.39368670523408,29393.329923273657,mChi_2,mCherry RNAi,0.7494982595056865,0.45919006645430915,0.40938765284713696,95,2000
1780,35.67191601049869,731.3792650918635,292.8595800524934,998.0,1.5515642556368592,23045.305774278215,mChi_2,mCherry RNAi,0.5359172773036385,0.4719155786027971,-0.7498260502110909,95,2000
1781,34.79252336448598,742.4280373831775,257.4392523364486,667.0,1.471468724644106,19902.672897196262,mChi_2,mCherry RNAi,0.6418990271026319,0.4917214390047864,-0.882714407705862,95,2000
1782,36.08516483516483,749.8928571428571,429.23214285714283,923.0,1.3999914222360128,28434.06730769231,mChi_2,mCherry RNAi,0.14338363398946918,0.5470468835332791,-2.226190978078158,95,2000
1783,34.69887278582931,752.2979066022544,467.07246376811594,975.0,1.6178645562414828,11742.392914653785,mChi_2,mCherry RNAi,0.03385334751290414,0.5611793520480184,-4.180442278539672,95,2000
1784,34.96222455403987,758.1636935991605,542.0608604407136,1192.0,1.678755475003703,36924.442812172085,mChi_2,mCherry RNAi,-0.1830797719663262,0.5918007187737218,-5.025677826465518,95,2000
1785,34.36363636363637,766.1544011544012,201.32034632034632,884.0,1.6483463359053145,17864.969696969696,mChi_2,mCherry RNAi,0.8113292707615822,0.5384806452256088,-0.028871640406862298,95,2000
1786,35.3781979977753,764.3681868743048,189.1012235817575,1168.0,1.375566864053457,16218.826473859845,mChi_2,mCherry RNAi,0.8464152393049906,0.5313948104540815,1.152677019517938,95,2000
1787,35.18625678119349,771.6943942133815,319.86618444846295,704.0,1.5446004360490553,18073.021699819168,mChi_2,mCherry RNAi,0.4674296257724304,0.5776241435173688,-1.0190227135426184,95,2000
1788,35.291621327529924,780.3623503808487,298.1468988030468,1222.0,1.4376882423638109,20649.94668117519,mChi_2,mCherry RNAi,0.5328597093536165,0.5944358179589802,-0.42557604944084915,95,2000
1789,36.85391304347826,784.3113043478261,470.39130434782606,853.0,1.4478767831038484,9214.126956521739,mChi_2,mCherry RNAi,0.03213120742179565,0.6411366492179993,-1.5633673089232332,95,2000
1790,34.67571059431525,792.2273901808785,306.8837209302326,938.0,1.4229611081338305,21066.760981912146,mChi_2,mCherry RNAi,0.5104306620549699,0.6257331597518856,-0.9903091117853222,95,2000
1791,34.25714285714286,799.5261904761904,252.26904761904763,584.0,1.7252259974876514,12090.5,mChi_2,mCherry RNAi,0.6713470702021036,0.6321102850826685,-0.4149814676092092,95,2000
1792,35.46812749003984,816.0527888446215,379.69621513944224,1248.0,1.557322910367976,21545.418326693227,mChi_2,mCherry RNAi,0.30432553704030574,0.7003688919016955,-0.9823229458734772,95,2000
1793,38.668912415784405,840.4051973051011,457.1203079884504,1892.0,1.550412345937492,17542.757459095283,mChi_2,mCherry RNAi,0.08479989838096058,0.7772124770521671,1.3679167058628323,95,2000
1794,36.390697674418604,871.3813953488373,401.0883720930233,1467.0,1.8224393017961573,8333.691860465116,mChi_2,mCherry RNAi,0.2558944954734672,0.8420216421164313,0.48833208204531786,95,2000
1795,36.88467153284672,214.8817518248175,284.43649635036496,822.0,1.3323338432579197,11868.026277372262,mChi_2,mCherry RNAi,0.43046048953859883,-0.8097261465000083,-7.724641897933864,95,2000
1796,36.21730769230769,221.46057692307693,363.0980769230769,1241.0,1.5070957720161648,18781.460576923077,mChi_2,mCherry RNAi,0.20305627132088144,-0.7765155692678023,-9.547791877091917,95,2000
1797,35.27858293075684,250.4814814814815,208.79066022544282,792.0,1.735984638330683,14696.265700483093,mChi_2,mCherry RNAi,0.6598072985261474,-0.7376954265956144,-7.543109713441154,95,2000
1798,37.252720677146314,339.23579201934706,280.30592503022973,1003.0,1.3419439826099373,30814.54171704958,mChi_2,mCherry RNAi,0.4737532495610355,-0.502498921792159,-5.286689154934926,95,2000
