label,centroid_x,centroid_y,centroid_z,area,aspherity,int,sample,type,x_std,y_std,z_std,rotation,int_threshold
89,16.84466501240695,592.9727047146401,900.7374689826303,2839.0,1.4894888083785303,59628.47692307692,Ezi_4,E(z) RNAi,0.7965551374920545,-0.2196506849300982,-38.55126173651067,-85,2000
90,18.271370967741934,625.8826612903226,836.7411290322581,3107.0,1.3093164973015579,55008.70725806452,Ezi_4,E(z) RNAi,0.6525290237490062,-0.2840915706849376,-38.39361111703752,-85,2000
91,15.036199095022624,624.0904977375566,896.5135746606335,635.0,1.5570184708182357,36488.32352941176,Ezi_4,E(z) RNAi,0.7820617713788136,-0.29116165288424734,-40.556879330701356,-85,2000
92,18.651573954290644,126.03018542475205,470.514014661492,2792.0,1.258850584449664,31183.341095299696,Ezi_4,E(z) RNAi,-0.05102877876217149,0.9464977525644371,-42.57104063868318,-85,2000
93,17.62881245944192,152.21804023361454,324.78195976638546,1900.0,1.44889638578235,17335.45554834523,Ezi_4,E(z) RNAi,-0.37031102443835384,0.913081801471044,-46.29145365994705,-85,2000
94,17.40301724137931,180.92456896551724,338.0639367816092,1711.0,1.4423847338775366,23939.19252873563,Ezi_4,E(z) RNAi,-0.3466366305919504,0.8438694534681164,-46.3934768403457,-85,2000
95,16.962848297213622,236.30495356037153,793.5990712074304,917.0,1.4341184532446065,25015.685758513933,Ezi_4,E(z) RNAi,0.6275315656252975,0.6294036952209241,-38.939732730848434,-85,2000
96,17.77198975234842,245.2399658411614,739.4124679760888,1562.0,1.4391247867149406,25029.74978650726,Ezi_4,E(z) RNAi,0.5089086476132629,0.618836382759709,-39.13068779329526,-85,2000
97,18.06046511627907,293.346511627907,799.0244186046511,1164.0,1.216029519171247,42043.111627906976,Ezi_4,E(z) RNAi,0.6292308621351916,0.4958132864137499,-37.96977023638716,-85,2000
98,16.70282131661442,367.3448275862069,779.0827586206897,1946.0,1.3899848325359203,53518.126018808776,Ezi_4,E(z) RNAi,0.5732749651691527,0.32760613680420203,-39.97296394308364,-85,2000
