label,centroid_x,centroid_y,centroid_z,area,aspherity,int_0,int_1,int_2,pca_x,pca_y,pca_z,sample,condition,in_plane,inROI,TE,RFP
977,86.66632653061224,315.7173469387755,332.14489795918365,1295.0,1.6174320142825394,1471.8040816326532,1976.0173469387755,349.3397959183674,-0.5669292050642433,0.8512693543209411,3.7740447223936116,CantonS_7,CantonS,True,True,False,True
981,87.26363636363637,392.55454545454546,264.0109090909091,1467.0,1.7446733873383364,1471.6090909090908,1782.5463636363636,1167.4518181818182,-0.8387619542293215,0.5803543165558744,1.348524104031867,CantonS_7,CantonS,True,True,True,True
993,87.34811320754717,774.1264150943397,294.6311320754717,1319.0,1.5176065684872857,1397.2481132075472,2167.8669811320756,1079.8584905660377,-0.7561248706002053,-0.7978253922257603,-1.3063480397366476,CantonS_7,CantonS,True,True,True,True
996,86.4327731092437,795.4495798319327,318.22058823529414,802.0,1.492156842368289,1419.6029411764705,1096.4579831932774,347.5966386554622,-0.6664657677754133,-0.8767632023557671,-1.6466489182825654,CantonS_7,CantonS,True,True,False,True
1018,88.40154109589041,382.60017123287673,280.9049657534247,1448.0,1.553566179354369,1424.6446917808219,910.3304794520548,798.2611301369863,-0.772390622150446,0.614692548725499,3.1455858223266517,CantonS_7,CantonS,True,True,True,True
1032,87.64412070759626,759.2258064516129,288.207075962539,1281.0,1.4920668886332504,1400.318418314256,1886.7658688865765,1554.197710718002,-0.7796847282858821,-0.7435499888098942,-1.0774159646839934,CantonS_7,CantonS,True,True,True,True
1033,87.08514190317196,760.8580968280468,303.8856427378965,1427.0,1.4969246000932386,1384.1043405676128,1242.5133555926545,782.4190317195325,-0.7189100049022069,-0.7508143362418815,-1.1307394000217386,CantonS_7,CantonS,True,True,True,True
1037,88.39174454828661,770.022585669782,338.14096573208724,1514.0,1.4999412268489993,1454.5802180685357,1637.4135514018692,867.8348909657321,-0.586986369774172,-0.7869477882628972,1.2239949601493834,CantonS_7,CantonS,True,True,True,True
1039,87.34639927073837,780.77484047402,324.5360072926162,1395.0,1.5663505332700947,1463.475843208751,1306.9243391066545,391.87055606198726,-0.640678704789672,-0.8244585533511422,-0.3790407301016643,CantonS_7,CantonS,True,True,False,True
1043,89.92403932082216,792.1528150134048,324.05004468275246,1582.0,1.4559353748224917,1514.0035746201966,1782.3860589812332,270.16353887399464,-0.6439799158784061,-0.8655130892995914,2.0688417064026368,CantonS_7,CantonS,True,True,False,True
1063,88.48728813559322,393.1101694915254,250.77754237288136,1185.0,1.4710180535671784,1337.7934322033898,1177.4406779661017,948.3199152542373,-0.8903396209674418,0.5794921605320973,2.1258903757226193,CantonS_7,CantonS,True,True,True,True
1077,88.80933852140078,698.3968871595331,267.0126459143969,1392.0,1.5545402785952023,945.5107003891051,1126.987354085603,727.4785992217899,-0.8563314708991808,-0.5224282711954044,-0.01870266618547589,CantonS_7,CantonS,True,True,True,False
1079,90.2858958068615,760.2185514612453,279.72808132147395,1057.0,1.3677700678536981,1412.0368487928845,883.707750952986,764.425667090216,-0.8130341052119249,-0.7464581159641285,1.271023265128747,CantonS_7,CantonS,True,True,True,True
1122,91.38023152270704,783.9154051647373,313.52448797862866,1493.0,1.5525365052617337,1442.6847729296528,2009.027604630454,328.4416740872663,-0.6842430544091995,-0.8349282788805797,3.255247710359072,CantonS_7,CantonS,True,True,False,True
1151,91.13450292397661,763.9044834307992,325.51461988304095,621.0,1.4729245408839102,1415.298245614035,890.0974658869395,1023.2475633528265,-0.6357722559836958,-0.7638568797492277,3.6054608724784742,CantonS_7,CantonS,True,True,True,True
1179,92.83485540334856,761.6240487062405,295.0913242009132,1620.0,1.487363378789818,1351.9809741248098,1792.507610350076,785.548706240487,-0.7538661260561537,-0.7529779818236787,4.315515655172831,CantonS_7,CantonS,True,True,True,True
121,73.99408284023669,734.3633136094675,274.108875739645,1272.0,1.948617787814404,842.9266272189349,1469.1195266272189,292.04378698224855,-0.6309505100026878,0.7722609569645391,-20.59659806477113,sgBi_1,sgBi,True,True,False,False
122,75.98661174047373,737.4500514933059,288.5870236869207,1275.0,1.331912400672084,812.8465499485067,902.8259526261586,973.0164778578785,-0.5792700137846436,0.780383607051215,-18.665767770888763,sgBi_1,sgBi,True,True,True,False
139,76.79816513761467,723.9612640163099,258.71763506625894,1249.0,1.7176217197591384,851.7420998980632,848.4016309887869,172.6472986748216,-0.6869798446730221,0.7374739604006747,-18.021158912967437,sgBi_1,sgBi,True,True,False,False
154,78.24747474747475,736.1742424242424,274.20959595959596,1055.0,1.486476246941293,829.4810606060606,1288.7424242424242,211.51262626262627,-0.6301095293455106,0.7780805580971155,-16.274678869279924,sgBi_1,sgBi,True,True,False,False
181,81.74158183241974,723.2850430696946,273.4087705559906,1730.0,1.6969867953641615,857.8371182458887,1189.6162881754112,163.98433829287393,-0.6351108277646358,0.7316863667493951,-13.29797759694533,sgBi_1,sgBi,True,True,False,False
195,83.73510540788267,703.884509624198,252.83501374885427,1399.0,1.874398251798768,753.2813932172319,905.4069660861595,160.08615948670945,-0.7110577816113819,0.6658214925869173,-11.832126953831718,sgBi_1,sgBi,True,True,False,False
225,88.28596338273758,723.1639058413252,279.91717523975586,1464.0,1.4635557789814353,829.9084568439407,1028.3931996512642,200.59110723626853,-0.6119349493319232,0.7291162213508273,-6.847866973808905,sgBi_1,sgBi,True,True,False,False
252,90.59413202933985,737.2436837815811,280.8720456397718,1637.0,1.7627998776149811,836.359413202934,879.4955175224123,186.20293398533008,-0.6059570887065674,0.77887658327318,-3.981101670868256,sgBi_1,sgBi,True,True,False,False
272,92.28531073446328,319.43220338983053,244.0677966101695,1356.0,1.6232969882687542,529.4623352165725,891.4011299435028,1786.7843691148776,-0.8105486399285666,-0.7065863921395859,-18.82143911982861,sgBi_1,sgBi,True,True,True,False
